song_id,title,artist,filepath
nAIxCBm3ULk,Kaavish | Season 4 | Coke Studio Pakistan | @RohailHyattMusic,Nindiya Re,database/Nindiya Re ｜ Kaavish ｜ Season 4 ｜ Coke Studio Pakistan ｜ @RohailHyattMusic.nAIxCBm3ULk.wav
EeeObmCWLKA,Obocheton,Nemesis,database/Obocheton By Nemesis ｜ Album Agontuk 2 ｜ Official lyrical Video.EeeObmCWLKA.wav
3dxnaG9VFuI,ওরে নীল দরিয়া | Faruk & Kobori | Abdul Jabbar | Shareng Bou | Anupam,Ore Nil Doriya,database/Ore Nil Doriya ｜ ওরে নীল দরিয়া ｜ Faruk & Kobori ｜ Abdul Jabbar ｜ Shareng Bou ｜ Anupam.3dxnaG9VFuI.wav
0e4wMRI69ww,Pagla Ghora,Unknown,database/Pagla Ghora.0e4wMRI69ww.wav
Xc6uwbXpmUY,Ranjish Hi Sahi,Unknown,database/Ranjish Hi Sahi.Xc6uwbXpmUY.wav
2prZz54mn3k,Lyrical Video | শোনো গো দখিন হাওয়া  | S.D.Burman | Bangla Gaan,Shono Go Dakhin Hawa,database/Shono Go Dakhin Hawa ｜ Lyrical Video ｜ শোনো গো দখিন হাওয়া  ｜ S.D.Burman ｜ Bangla Gaan.2prZz54mn3k.wav
txqjiXaPH7c,Bari Siddiqui,Shua Chan Pakhi Lyrics (সোয়া চাঁন পাখি লিরিক্স),database/Shua Chan Pakhi Lyrics (সোয়া চাঁন পাখি লিরিক্স) - Bari Siddiqui.txqjiXaPH7c.wav
m9TAaOWtPDQ,Black | Album Rock 202 | Official lyrical Video,Tumi Ki Shara Dibe,database/Tumi Ki Shara Dibe ｜ Black ｜ Album Rock 202 ｜ Official lyrical Video.m9TAaOWtPDQ.wav
xqqMB6F_VyI,উৎসবের উৎসাহে | Artcell | Underground (Band Mixed Album) | Original Track,Utshober Utshahe,database/Utshober Utshahe ｜ উৎসবের উৎসাহে ｜ Artcell ｜ Underground (Band Mixed Album) ｜ Original Track.xqqMB6F_VyI.wav
v7a6lIu5-kU,Bidhatari Ronge Aka,Vibe,database/Vibe-Bidhatari Ronge Aka(Lyrics Video).v7a6lIu5-kU.wav
uB2rhjulY4Q,Purnota,Warfaze,database/Warfaze - Purnota.uB2rhjulY4Q.wav
Qh_sxMN9UH8,Obak Bhalobasha,Warfaze,database/Warfaze-Obak Bhalobasha.Qh_sxMN9UH8.wav
4K6cvc27_CE,Wish You Were Here,Unknown,database/Wish You Were Here.4K6cvc27_CE.wav
sjij_VKa2QQ,Rehnaa hai terre Dil Mein |R.Madhavan |Dia Mirza | Bombay Jayashri |Romantic Song |RHTDM,Zara Zara,database/Zara Zara ｜ Rehnaa hai terre Dil Mein ｜R.Madhavan ｜Dia Mirza ｜ Bombay Jayashri ｜Romantic Song ｜RHTDM.sjij_VKa2QQ.wav
VWzgd_ZiGks,ya ghali guitara,Unknown,database/ya ghali guitara.VWzgd_ZiGks.wav
wnfUpOch510,Kobita | James | Lyrics,কবিতা তুমি স্বপ্নচারিনী হয়ে,database/কবিতা তুমি স্বপ্নচারিনী হয়ে ｜ Kobita ｜ James ｜ Lyrics.wnfUpOch510.wav
0dGS7dNwlrU,Ki Jala | Hridoy Khan | Bangla Folk Song,কি জ্বালা দিয়ে গেলা মোরে,database/কি জ্বালা দিয়ে গেলা মোরে ｜ Ki Jala ｜ Hridoy Khan ｜ Bangla Folk Song.0dGS7dNwlrU.wav
hWHCsysOxBk,꧁ Your Midnight Melody： Tomar Jonno Nilche Tara,Arnob,database/꧁ Your Midnight Melody： Tomar Jonno Nilche Tara by Arnob (তোমার জন্য নীলচে তারা) I Official Audio ꧂.hWHCsysOxBk.wav
